13:42:39: Key.cmd
13:42:40: h
13:42:40: o
13:42:40: l
13:42:40: a
13:42:41: Key.space
13:42:42: a
13:42:42: m
13:42:42: i
13:42:42: g
13:42:43: o
13:42:43: Key.space
13:42:43: c
13:42:43: o
13:42:44: m
13:42:44: o
13:42:44: Key.space
13:42:44: e
13:42:44: s
13:42:44: Key.space
13:42:44: t
13:42:44: a
13:42:45: s
13:42:45: i
13:42:45: i
13:42:46: i
13:42:46: i
13:42:46: i
13:42:46: i
13:42:46: i
13:42:46: i
13:42:46: i
13:42:46: i
13:42:47: i
13:42:47: Key.esc
